stock_code,timestamp,price
AAPL,2024-01-02 09:30:00.000,175.23
AAPL,2024-01-02 09:31:00.000,176.45
AAPL,2024-01-02 09:32:00.000,174.89
AAPL,2024-01-02 09:33:00.000,177.12
AAPL,2024-01-02 09:34:00.000,176.78
AAPL,2024-01-02 09:35:00.000,178.23
AAPL,2024-01-02 09:36:00.000,179.45
AAPL,2024-01-02 09:37:00.000,177.89
AAPL,2024-01-02 09:38:00.000,180.12
AAPL,2024-01-02 09:39:00.000,181.78
GOOG,2024-01-02 09:30:00.000,2780.50
GOOG,2024-01-02 09:31:00.000,2790.75
GOOG,2024-01-02 09:32:00.000,2775.30
GOOG,2024-01-02 09:33:00.000,2800.20
GOOG,2024-01-02 09:34:00.000,2795.45
GOOG,2024-01-02 09:35:00.000,2810.60
GOOG,2024-01-02 09:36:00.000,2805.15
GOOG,2024-01-02 09:37:00.000,2790.80
GOOG,2024-01-02 09:38:00.000,2820.25
GOOG,2024-01-02 09:39:00.000,2815.40
MSFT,2024-01-02 09:30:00.000,330.45
MSFT,2024-01-02 09:31:00.000,332.60
MSFT,2024-01-02 09:32:00.000,329.75
MSFT,2024-01-02 09:33:00.000,335.20
MSFT,2024-01-02 09:34:00.000,333.85
MSFT,2024-01-02 09:35:00.000,338.10
MSFT,2024-01-02 09:36:00.000,336.45
MSFT,2024-01-02 09:37:00.000,334.90
MSFT,2024-01-02 09:38:00.000,340.15
MSFT,2024-01-02 09:39:00.000,338.80
